ERROR - 2023-08-16 11:49:49 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:50:02 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:50:16 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:50:36 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:51:14 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:53:04 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:54:20 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:57:28 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:58:48 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:59:17 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 11:59:23 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 12:00:34 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 12:02:07 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 12:02:35 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 12:02:44 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 12:03:01 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 12:03:14 --> An invalid name was submitted as the product name: Softcase Spigen Liquid Air Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
ERROR - 2023-08-16 12:07:24 --> An invalid name was submitted as the product name: Softcase Spigen Iphone X/XS The name can only contain alpha-numeric characters, dashes, underscores, colons, and spaces
